index,der_word,subtitle_ind,eng_sent,video_code,start,end,tokens,movie_dir,sinc
0,whoo,0,Whoo. Yeah.,SI101,23180,25260,whoo yeah,./silicon,F
1,yeah,0,Whoo. Yeah.,SI101,23180,25260,whoo yeah,./silicon,F
2,somebody,1,Somebody make some  motherfucking noise in here!,SI101,25270,31680,somebody make some motherfucking noise in here,./silicon,F
3,make,1,Somebody make some  motherfucking noise in here!,SI101,25270,31680,somebody make some motherfucking noise in here,./silicon,F
4,some,1,Somebody make some  motherfucking noise in here!,SI101,25270,31680,somebody make some motherfucking noise in here,./silicon,F
5,motherfucking,1,Somebody make some  motherfucking noise in here!,SI101,25270,31680,somebody make some motherfucking noise in here,./silicon,F
6,noise,1,Somebody make some  motherfucking noise in here!,SI101,25270,31680,somebody make some motherfucking noise in here,./silicon,F
7,in,1,Somebody make some  motherfucking noise in here!,SI101,25270,31680,somebody make some motherfucking noise in here,./silicon,F
8,here,1,Somebody make some  motherfucking noise in here!,SI101,25270,31680,somebody make some motherfucking noise in here,./silicon,F
9,fuck,2,Fuck these people.,SI101,31690,33430,fuck these people,./silicon,F
10,these,2,Fuck these people.,SI101,31690,33430,fuck these people,./silicon,F
11,people,2,Fuck these people.,SI101,31690,33430,fuck these people,./silicon,F
12,man,3,"Man, this place is unbelievable.",SI101,37500,40110,man this place is unbelievable,./silicon,F
13,this,3,"Man, this place is unbelievable.",SI101,37500,40110,man this place is unbelievable,./silicon,F
14,place,3,"Man, this place is unbelievable.",SI101,37500,40110,man this place is unbelievable,./silicon,F
15,is,3,"Man, this place is unbelievable.",SI101,37500,40110,man this place is unbelievable,./silicon,F
16,unbelievable,3,"Man, this place is unbelievable.",SI101,37500,40110,man this place is unbelievable,./silicon,F
17,fucking,4,"Fucking Goolybib, man.",SI101,40120,41660,fucking goolybib man,./silicon,F
18,goolybib,4,"Fucking Goolybib, man.",SI101,40120,41660,fucking goolybib man,./silicon,F
19,man,4,"Fucking Goolybib, man.",SI101,40120,41660,fucking goolybib man,./silicon,F
20,those,5,"Those guys build a  mediocre piece of software,",SI101,41670,43490,those guys build mediocre piece of software,./silicon,F
21,guys,5,"Those guys build a  mediocre piece of software,",SI101,41670,43490,those guys build mediocre piece of software,./silicon,F
22,build,5,"Those guys build a  mediocre piece of software,",SI101,41670,43490,those guys build mediocre piece of software,./silicon,F
23,mediocre,5,"Those guys build a  mediocre piece of software,",SI101,41670,43490,those guys build mediocre piece of software,./silicon,F
24,piece,5,"Those guys build a  mediocre piece of software,",SI101,41670,43490,those guys build mediocre piece of software,./silicon,F
25,of,5,"Those guys build a  mediocre piece of software,",SI101,41670,43490,those guys build mediocre piece of software,./silicon,F
26,software,5,"Those guys build a  mediocre piece of software,",SI101,41670,43490,those guys build mediocre piece of software,./silicon,F
27,that,6,"that might be worth something someday,",SI101,43500,45410,that might be worth something someday,./silicon,F
28,might,6,"that might be worth something someday,",SI101,43500,45410,that might be worth something someday,./silicon,F
29,be,6,"that might be worth something someday,",SI101,43500,45410,that might be worth something someday,./silicon,F
30,worth,6,"that might be worth something someday,",SI101,43500,45410,that might be worth something someday,./silicon,F
31,something,6,"that might be worth something someday,",SI101,43500,45410,that might be worth something someday,./silicon,F
32,someday,6,"that might be worth something someday,",SI101,43500,45410,that might be worth something someday,./silicon,F
33,and,7,and now they live here.,SI101,45420,47160,and now they live here,./silicon,F
34,now,7,and now they live here.,SI101,45420,47160,and now they live here,./silicon,F
35,they,7,and now they live here.,SI101,45420,47160,and now they live here,./silicon,F
36,live,7,and now they live here.,SI101,45420,47160,and now they live here,./silicon,F
37,here,7,and now they live here.,SI101,45420,47160,and now they live here,./silicon,F
38,there's,8,There's money flying  all over Silicon Valley,SI101,47170,48950,there's money flying all over silicon valley,./silicon,F
39,money,8,There's money flying  all over Silicon Valley,SI101,47170,48950,there's money flying all over silicon valley,./silicon,F
40,flying,8,There's money flying  all over Silicon Valley,SI101,47170,48950,there's money flying all over silicon valley,./silicon,F
41,all,8,There's money flying  all over Silicon Valley,SI101,47170,48950,there's money flying all over silicon valley,./silicon,F
42,over,8,There's money flying  all over Silicon Valley,SI101,47170,48950,there's money flying all over silicon valley,./silicon,F
43,silicon,8,There's money flying  all over Silicon Valley,SI101,47170,48950,there's money flying all over silicon valley,./silicon,F
44,valley,8,There's money flying  all over Silicon Valley,SI101,47170,48950,there's money flying all over silicon valley,./silicon,F
45,but,9,but none of it ever seems to hit us.,SI101,48960,51450,but none of ever seems to hit us,./silicon,F
