person,사람
bicycle,자전거
car,자동차
motorcycle,오토바이
airplane,비행기
bus,버스
train,기차
truck,트럭
boat,보트
traffic light,교통 신호등
fire hydrant,소화전
stop sign,정지 신호
parking meter,주차 미터
bench,벤치
bird,새
cat,고양이
dog,개
horse,말
sheep,양
cow,암소
elephant,코끼리
bear,곰
zebra,얼룩말
giraffe,기린
backpack,책가방
umbrella,우산
handbag,핸드백
tie,넥타이
suitcase,가방
frisbee,프리스비
skis,스키
snowboard,스노보드
sports ball,스포츠 볼
kite,연
baseball bat,야구 방망이
baseball glove,야구 글러브
skateboard,스케이트 보드
surfboard,서핑 보드
tennis racket,테니스 라켓
bottle,병
wine glass,와인 글라스
cup,컵
fork,포크
knife,나이프
spoon,숟가락
bowl,그릇
banana,바나나
apple,애플
sandwich,샌드위치
orange,오렌지
broccoli,브로콜리
carrot,당근
hot dog,핫도그
pizza,피자
donut,도넛
cake,케이크
chair,의자
couch,소파
potted plant,화분
bed,침대
dining table,식사테이블
toilet,화장실
tv,TV 모니터
laptop,노트북
mouse,마우스
remote,원격
keyboard,키보드
cell phone,휴대 전화
microwave,전자 레인지
oven,오븐
toaster,토스터기
sink,싱크대
refrigerator,냉장고
book,도서
clock,시계
vase,꽃병
scissors,가위
teddy bear,테디베어
hair drier,헤어드라이어
toothbrush,칫솔
